EmpNo,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Dept,salary
A1,0.38,0.53,2,157,3,0,1,0,sales,low
A2,0.8,0.86,5,262,6,0,1,0,sales,medium
A3,0.11,0.88,7,272,4,0,1,0,sales,medium
A4,0.72,0.87,5,223,5,0,1,0,sales,low
A5,0.37,0.52,2,159,3,0,1,0,sales,low
A6,0.41,0.5,2,153,3,0,1,0,sales,low
A7,0.1,0.77,6,247,4,0,1,0,sales,low
A8,0.92,0.85,5,259,5,0,1,0,sales,low
A9,0.89,1,5,224,5,0,1,0,sales,low
A10,0.42,0.53,2,142,3,0,1,0,sales,low
A11,0.45,0.54,2,135,3,0,1,0,sales,low
A12,0.11,0.81,6,305,4,0,1,0,sales,low
A13,0.84,0.92,4,234,5,0,1,0,sales,low
A14,0.41,0.55,2,148,3,0,1,0,sales,low
A15,0.36,0.56,2,137,3,0,1,0,sales,low
A16,0.38,0.54,2,143,3,0,1,0,sales,low
A17,0.45,0.47,2,160,3,0,1,0,sales,low
A18,0.78,0.99,4,255,6,0,1,0,sales,low
A19,0.45,0.51,2,160,3,1,1,1,sales,low
A20,0.76,0.89,5,262,5,0,1,0,sales,low
A21,0.11,0.83,6,282,4,0,1,0,sales,low
A22,0.38,0.55,2,147,3,0,1,0,sales,low
A23,0.09,0.95,6,304,4,0,1,0,sales,low
A24,0.46,0.57,2,139,3,0,1,0,sales,low
A25,0.4,0.53,2,158,3,0,1,0,sales,low
A26,0.89,0.92,5,242,5,0,1,0,sales,low
A27,0.82,0.87,4,239,5,0,1,0,sales,low
A28,0.4,0.49,2,135,3,0,1,0,sales,low
A29,0.41,0.46,2,128,3,0,1,0,accounting,low
A30,0.38,0.5,2,132,3,0,1,0,accounting,low
A31,0.09,0.62,6,294,4,0,1,0,accounting,low
A32,0.45,0.57,2,134,3,0,1,0,hr,low
A33,0.4,0.51,2,145,3,0,1,0,hr,low
A34,0.45,0.55,2,140,3,0,1,0,hr,low
A35,0.84,0.87,4,246,6,0,1,0,hr,low
A36,0.1,0.94,6,255,4,0,1,0,technical,low
A37,0.38,0.46,2,137,3,0,1,0,technical,low
A38,0.45,0.5,2,126,3,0,1,0,technical,low
A39,0.11,0.89,6,306,4,0,1,0,technical,low
A40,0.41,0.54,2,152,3,0,1,0,technical,low
A41,0.87,0.88,5,269,5,0,1,0,technical,low
A42,0.45,0.48,2,158,3,0,1,0,technical,low
A43,0.4,0.46,2,127,3,0,1,0,technical,low
A44,0.1,0.8,7,281,4,0,1,0,technical,low
A45,0.09,0.89,6,276,4,0,1,0,technical,low
A46,0.84,0.74,3,182,4,0,1,0,technical,low
A47,0.4,0.55,2,147,3,0,1,0,support,low
A48,0.57,0.7,3,273,6,0,1,0,support,low
A49,0.4,0.54,2,148,3,0,1,0,support,low
A50,0.43,0.47,2,147,3,0,1,0,support,low
A51,0.13,0.78,6,152,2,0,1,0,support,low
A52,0.44,0.55,2,135,3,0,1,0,support,low
A53,0.38,0.55,2,134,3,0,1,0,support,low
A54,0.39,0.54,2,132,3,0,1,0,support,low
A55,0.1,0.92,7,307,4,0,1,0,support,low
A56,0.37,0.46,2,140,3,0,1,0,support,low
A57,0.11,0.94,7,255,4,0,1,0,support,low
A58,0.1,0.81,6,309,4,0,1,0,technical,low
A59,0.38,0.54,2,128,3,0,1,0,technical,low
A60,0.85,1,4,225,5,0,1,0,technical,low
A61,0.85,0.91,5,226,5,0,1,0,management,medium
A62,0.11,0.93,7,308,4,0,1,0,IT,medium
A63,0.1,0.95,6,244,5,0,1,0,IT,medium
A64,0.36,0.56,2,132,3,0,1,0,IT,medium
A65,0.11,0.94,6,286,4,0,1,0,IT,medium
A66,0.81,0.7,6,161,4,0,1,0,IT,medium
A67,0.43,0.54,2,153,3,0,1,0,product_mng,medium
A68,0.9,0.98,4,264,6,0,1,0,product_mng,medium
A69,0.76,0.86,5,223,5,1,1,0,product_mng,medium
A70,0.43,0.5,2,135,3,0,1,0,product_mng,medium
A71,0.74,0.99,2,277,3,0,1,0,IT,medium
A72,0.09,0.77,5,275,4,0,1,0,product_mng,medium
A73,0.45,0.49,2,149,3,0,1,0,product_mng,high
A74,0.09,0.87,7,295,4,0,1,0,product_mng,low
A75,0.11,0.97,6,277,4,0,1,0,product_mng,medium
A76,0.11,0.79,7,306,4,0,1,0,product_mng,medium
A77,0.1,0.83,6,295,4,0,1,0,product_mng,medium
A78,0.4,0.54,2,137,3,0,1,0,marketing,medium
A79,0.43,0.56,2,157,3,0,1,0,sales,low
A80,0.39,0.56,2,142,3,0,1,0,accounting,low
A81,0.45,0.54,2,140,3,0,1,0,support,low
A82,0.38,0.49,2,151,3,0,1,0,technical,low
A83,0.79,0.59,4,139,3,0,1,1,management,low
A84,0.84,0.85,4,249,6,0,1,0,marketing,low
A85,0.11,0.77,6,291,4,0,1,0,marketing,low
A86,0.11,0.87,6,305,4,0,1,0,marketing,low
A87,0.17,0.84,5,232,3,0,1,0,sales,low
A88,0.44,0.45,2,132,3,0,1,0,sales,low
A89,0.37,0.57,2,130,3,0,1,0,sales,low
A90,0.1,0.79,6,291,4,0,1,0,sales,low
A91,0.4,0.5,2,130,3,0,1,0,sales,low
A92,0.89,1,5,246,5,0,1,0,sales,low
A93,0.42,0.48,2,143,3,0,1,0,sales,low
A94,0.46,0.55,2,129,3,0,1,0,sales,low
A95,0.09,0.83,6,255,4,0,1,0,sales,low
A96,0.37,0.51,2,155,3,0,1,0,sales,low
A97,0.1,0.77,6,265,4,0,1,0,sales,low
A98,0.1,0.84,6,279,4,0,1,0,sales,low
A99,0.11,0.97,6,284,4,0,1,0,sales,low
A100,0.9,1,5,221,6,0,1,0,sales,medium
A101,0.38,0.52,2,154,3,0,1,0,sales,medium
A102,0.36,0.52,2,147,3,0,1,0,sales,medium
A103,0.42,0.46,2,150,3,0,1,0,sales,medium
A104,0.09,0.94,7,267,4,0,1,0,sales,medium
